Model,Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Learning Rate
VGG_v2_Dropout,1,1.472,45.66,1.4128,52.45,0.01
VGG_v2_Dropout,2,0.9649,65.78,0.9269,67.9,0.01
VGG_v2_Dropout,3,0.7631,73.81,0.7336,74.84,0.01
VGG_v2_Dropout,4,0.6517,77.96,0.7443,74.97,0.01
VGG_v2_Dropout,5,0.5759,80.64,0.5925,80.15,0.01
VGG_v2_Dropout,6,0.5201,82.56,0.6408,78.41,0.01
VGG_v2_Dropout,7,0.4733,84.11,0.57,80.97,0.01
VGG_v2_Dropout,8,0.4346,85.38,0.5426,81.81,0.01
VGG_v2_Dropout,9,0.4035,86.45,0.5291,81.86,0.01
VGG_v2_Dropout,10,0.3791,87.18,0.4878,83.49,0.01
VGG_v2_Dropout,11,0.3492,88.42,0.604,81.61,0.01
VGG_v2_Dropout,12,0.3347,88.75,0.4962,83.33,0.01
VGG_v2_Dropout,13,0.3155,89.18,0.4773,84.77,0.01
VGG_v2_Dropout,14,0.2978,89.84,0.4909,84.26,0.01
VGG_v2_Dropout,15,0.2836,90.5,0.5589,81.78,0.01
VGG_v2_Dropout,16,0.2662,90.99,0.4497,84.96,0.01
VGG_v2_Dropout,17,0.2592,91.3,0.4111,86.44,0.01
VGG_v2_Dropout,18,0.2427,91.68,0.4399,85.89,0.01
VGG_v2_Dropout,19,0.2347,92.08,0.3977,86.72,0.01
VGG_v2_Dropout,20,0.2233,92.4,0.4164,86.98,0.01
VGG_v2_Dropout,21,0.2146,92.76,0.5104,83.77,0.01
VGG_v2_Dropout,22,0.2116,92.92,0.418,86.55,0.01
VGG_v2_Dropout,23,0.2004,93.12,0.4278,86.44,0.01
VGG_v2_Dropout,24,0.1926,93.47,0.4265,86.47,0.01
VGG_v2_Dropout,25,0.1878,93.51,0.4017,87.63,0.01
VGG_v2_Dropout,26,0.1814,93.83,0.3755,88.19,0.01
VGG_v2_Dropout,27,0.1724,94.1,0.3883,87.7,0.01
VGG_v2_Dropout,28,0.1661,94.27,0.3765,88.48,0.01
VGG_v2_Dropout,29,0.1616,94.52,0.3676,88.43,0.01
VGG_v2_Dropout,30,0.1557,94.71,0.3769,88.09,0.01
VGG_v2_Dropout,31,0.1528,94.8,0.4355,87.02,0.01
VGG_v2_Dropout,32,0.1466,94.9,0.3656,88.65,0.01
VGG_v2_Dropout,33,0.1407,95.17,0.3857,88.03,0.01
VGG_v2_Dropout,34,0.1335,95.43,0.4188,88.05,0.01
VGG_v2_Dropout,35,0.1373,95.26,0.4166,87.69,0.01
VGG_v2_Dropout,36,0.1308,95.49,0.3869,88.33,0.01
VGG_v2_Dropout,37,0.132,95.39,0.3849,88.57,0.01
VGG_v2_Dropout,38,0.1259,95.75,0.3841,89.07,0.01
VGG_v2_Dropout,39,0.1228,95.82,0.3785,88.88,0.01
VGG_v2_Dropout,40,0.1203,95.82,0.4662,87.05,0.01
VGG_v2_Dropout,41,0.1147,96.08,0.3733,88.63,0.01
VGG_v2_Dropout,42,0.1076,96.32,0.4031,88.35,0.01
VGG_v2_Dropout,43,0.1134,96.13,0.3635,89.49,0.01
VGG_v2_Dropout,44,0.1065,96.41,0.3975,88.77,0.01
VGG_v2_Dropout,45,0.1091,96.32,0.4372,87.64,0.01
VGG_v2_Dropout,46,0.102,96.51,0.3888,89.67,0.01
VGG_v2_Dropout,47,0.1052,96.38,0.373,89.35,0.01
VGG_v2_Dropout,48,0.1006,96.55,0.3716,89.44,0.01
VGG_v2_Dropout,49,0.1035,96.47,0.3785,89.28,0.01
VGG_v2_Dropout,50,0.096,96.78,0.4393,88.23,0.01
VGG_v2_Dropout,51,0.0979,96.67,0.3928,88.6,0.01
VGG_v2_Dropout,52,0.0985,96.64,0.4559,87.11,0.01
VGG_v2_Dropout,53,0.0951,96.9,0.3918,88.95,0.01
VGG_v2_Dropout,54,0.0957,96.82,0.3868,88.91,0.01
VGG_v2_Dropout,55,0.0921,96.92,0.3841,89.28,0.01
VGG_v2_Dropout,56,0.0932,96.79,0.392,89.11,0.01
VGG_v2_Dropout,57,0.0916,96.93,0.4057,88.89,0.01
VGG_v2_Dropout,58,0.0437,98.51,0.3375,91.39,0.005
VGG_v2_Dropout,59,0.0334,98.91,0.3561,91.27,0.005
VGG_v2_Dropout,60,0.0324,98.88,0.373,90.93,0.005
VGG_v2_Dropout,61,0.0293,98.99,0.3653,90.92,0.005
VGG_v2_Dropout,62,0.03,99.02,0.3645,90.93,0.005
VGG_v2_Dropout,63,0.0283,99.06,0.3695,90.78,0.005
VGG_v2_Dropout,64,0.027,99.08,0.3737,91.08,0.005
VGG_v2_Dropout,65,0.0275,99.08,0.3943,90.61,0.005
VGG_v2_Dropout,66,0.0285,99.05,0.3948,90.2,0.005
VGG_v2_Dropout,67,0.0268,99.13,0.3918,90.73,0.005
VGG_v2_Dropout,68,0.0285,99.1,0.4008,90.58,0.005
VGG_v2_Dropout,69,0.033,98.88,0.3776,91.11,0.005
VGG_v2_Dropout,70,0.0152,99.5,0.3342,91.83,0.0025
VGG_v2_Dropout,71,0.0108,99.69,0.358,91.66,0.0025
VGG_v2_Dropout,72,0.0098,99.69,0.3625,91.76,0.0025
VGG_v2_Dropout,73,0.0089,99.71,0.351,92.16,0.0025
VGG_v2_Dropout,74,0.0078,99.78,0.3656,92.16,0.0025
VGG_v2_Dropout,75,0.0078,99.77,0.3536,92.11,0.0025
VGG_v2_Dropout,76,0.0065,99.81,0.3784,91.65,0.0025
VGG_v2_Dropout,77,0.0055,99.85,0.369,92.1,0.0025
VGG_v2_Dropout,78,0.0064,99.8,0.3743,91.96,0.0025
VGG_v2_Dropout,79,0.0063,99.82,0.3689,92.4,0.0025
VGG_v2_Dropout,80,0.0062,99.8,0.3796,91.69,0.0025
VGG_v2_Dropout,81,0.0059,99.81,0.3822,91.93,0.0025
VGG_v2_Dropout,82,0.006,99.8,0.3831,91.96,0.0025
VGG_v2_Dropout,83,0.0057,99.82,0.3765,91.77,0.0025
VGG_v2_Dropout,84,0.0063,99.78,0.3773,91.81,0.0025
VGG_v2_Dropout,85,0.007,99.77,0.3587,92.12,0.0025
VGG_v2_Dropout,86,0.006,99.82,0.378,92.13,0.0025
VGG_v2_Dropout,87,0.0058,99.82,0.3787,92.11,0.0025
VGG_v2_Dropout,88,0.0065,99.78,0.3945,91.83,0.0025
VGG_v2_Dropout,89,0.0061,99.83,0.3872,91.85,0.0025
VGG_v2_Dropout,90,0.0063,99.8,0.3947,91.84,0.0025
VGG_v2_Dropout,91,0.0047,99.86,0.3811,91.93,0.00125
VGG_v2_Dropout,92,0.0031,99.91,0.3532,92.43,0.00125
VGG_v2_Dropout,93,0.0032,99.89,0.367,92.3,0.00125
VGG_v2_Dropout,94,0.0027,99.94,0.358,92.51,0.00125
VGG_v2_Dropout,95,0.0029,99.92,0.3808,92.01,0.00125
VGG_v2_Dropout,96,0.002,99.96,0.3571,92.49,0.00125
VGG_v2_Dropout,97,0.0028,99.91,0.3682,92.33,0.00125
VGG_v2_Dropout,98,0.0023,99.94,0.3705,92.36,0.00125
VGG_v2_Dropout,99,0.0022,99.95,0.3613,92.54,0.00125
VGG_v2_Dropout,100,0.002,99.95,0.3663,92.22,0.00125
VGG_v2_Dropout,101,0.0014,99.98,0.3614,92.57,0.00125
VGG_v2_Dropout,102,0.0022,99.94,0.3662,92.11,0.00125
VGG_v2_Dropout,103,0.002,99.95,0.3678,92.45,0.00125
VGG_v2_Dropout,104,0.0016,99.96,0.3661,92.42,0.00125
VGG_v2_Dropout,105,0.0016,99.98,0.3593,92.44,0.00125
VGG_v2_Dropout,106,0.0015,99.97,0.3615,92.63,0.00125
VGG_v2_Dropout,107,0.0018,99.96,0.3604,92.42,0.00125
VGG_v2_Dropout,108,0.0017,99.97,0.3657,92.29,0.00125
VGG_v2_Dropout,109,0.0017,99.96,0.3625,92.23,0.00125
VGG_v2_Dropout,110,0.0018,99.96,0.3634,92.61,0.00125
VGG_v2_Dropout,111,0.0019,99.96,0.369,92.09,0.00125
VGG_v2_Dropout,112,0.0019,99.96,0.3628,92.35,0.00125
VGG_v2_Dropout,113,0.0013,99.98,0.3629,92.64,0.00125
VGG_v2_Dropout,114,0.0016,99.96,0.3582,92.44,0.00125
VGG_v2_Dropout,115,0.0019,99.97,0.3682,92.38,0.00125
VGG_v2_Dropout,116,0.0018,99.97,0.3551,92.66,0.00125
VGG_v2_Dropout,117,0.0015,99.97,0.3627,92.55,0.00125
VGG_v2_Dropout,118,0.0014,99.97,0.3639,92.34,0.00125
VGG_v2_Dropout,119,0.0015,99.96,0.3642,92.39,0.00125
VGG_v2_Dropout,120,0.0013,99.99,0.3572,92.68,0.00125
